genus,n_hyb,n_neo
Abelmoschus,1,5
Abies,1,14
Abolboda,1,NA
Abronia,2,NA
Acacia,5,80
Acaena,1,5
Acalypha,3,19
Acantholimon,1,NA
Acer,9,26
Achillea,49,22
Aconitum,23,8
Actaea,1,3
Adenandra,1,NA
Adenanthos,2,NA
Adenocarpus,1,1
Adenophora,1,3
Adenostyles,2,NA
Adiantum,7,9
Adonis,1,5
Aegilops,1,7
Aeonium,47,7
Aerangis,3,NA
Aerides,1,NA
Aesculus,5,6
Agave,5,18
Agrimonia,2,7
Agropyron,1,6
Agrostis,16,17
Aichryson,5,1
Ajuga,6,6
Akebia,1,1
Aletris,1,NA
Alisma,3,3
Alkanna,1,NA
Allium,1,39
Alnus,8,11
Alocasia,1,5
Aloe,13,13
Alopecurus,6,11
Alpinia,2,9
Alsophila,4,NA
Althaea,1,6
Amaranthus,10,36
Ambrosia,3,12
Amelanchier,3,6
Amorpha,1,2
Anacamptis,39,NA
Anacyclus,3,3
Anarrhinum,1,1
Anchusa,2,11
Andropogon,6,8
Androsace,6,4
Andryala,5,1
Anemia,9,NA
Anemone,3,17
Anemonoides,3,NA
Angelica,1,7
Angophora,2,1
Anguloa,4,NA
Anisodontea,1,1
Anisomeles,1,3
Anthemis,1,6
Anthericum,1,1
Anthoxanthum,1,5
Anthurium,1,3
Anthyllis,2,4
Antidesma,1,2
Antirrhinum,5,3
Apocynum,1,1
Aquilegia,3,6
Arabis,1,8
Arachniodes,15,2
Arachnis,1,NA
Aragoa,4,NA
Arbutus,2,2
Arctium,8,3
Arctostaphylos,7,NA
Ardisia,1,6
Arenaria,1,5
Argemone,1,7
Argyroderma,1,NA
Argyroxiphium,1,NA
Aria,2,NA
Ariocarpus,1,NA
Arisarum,1,2
Aristolochia,3,16
Aristotelia,1,1
Armeria,5,3
Aronia,1,2
Artemisia,2,50
Arum,1,4
Asclepias,3,10
Asimina,7,1
Asperula,2,4
Asplenium,111,6
Aster,1,10
Astilbe,2,2
Athrotaxis,1,NA
Athyrium,61,2
Atriplex,7,47
Atropa,1,1
Attalea,4,NA
Aubrieta,1,2
Babiana,1,4
Baccharis,31,5
Bactris,1,1
Balsamorhiza,3,NA
Baptisia,7,6
Barbacenia,1,NA
Barbarea,3,5
Begonia,8,21
Berberis,5,18
Betula,26,8
Bidens,1,27
Billbergia,1,1
Bistorta,1,NA
Blechnum,6,6
Bletia,3,NA
Blitum,1,3
Boechera,1,1
Boehmeria,3,5
Bolbitis,5,NA
Bornmuellera,1,NA
Botrychium,7,NA
Brachychiton,7,2
Brachyglottis,5,3
Brachypodium,4,4
Brachystegia,1,NA
Bromus,15,44
Brongniartia,2,NA
Broughtonia,2,NA
Broussonetia,1,1
Brugmansia,2,5
Bruguiera,3,2
Buddleja,3,16
Bulbophyllum,3,NA
Bupleurum,1,10
Byrsonima,2,NA
Bystropogon,3,NA
Caladenia,20,NA
Calamagrostis,32,5
Calanthe,7,NA
Calceolaria,1,4
Calliandra,1,4
Callicarpa,2,4
Calligonum,8,NA
Callitriche,2,11
Calochortus,1,NA
Caltha,1,1
Calystegia,6,9
Camellia,1,3
Campanula,10,34
Cantinoa,1,NA
Capsella,1,4
Cardamine,16,18
Carduus,29,9
Carex,238,114
Carlina,3,4
Carpinus,1,2
Carthamus,2,7
Carya,9,6
Cassia,1,11
Cassinia,2,1
Cassiope,1,NA
Castanea,1,5
Castilleja,2,5
Catasetum,28,NA
Cattleya,95,NA
Ceanothus,12,1
Celmisia,8,NA
Cenchrus,2,27
Centaurea,36,44
Centaurium,4,7
Cephalanthera,6,NA
Cerastium,7,24
Chamaecrista,2,13
Chenopodium,28,46
Chiloglottis,1,NA
Chloraea,1,NA
Chloris,1,16
Chrysanthemum,3,4
Cibotium,1,NA
Cicerbita,1,NA
Cinchona,1,3
Cinnamomum,1,4
Circaea,8,1
Cirsium,37,28
Cissus,1,9
Cistus,33,10
Citharexylum,2,4
Citrus,4,10
Cladocolea,1,NA
Cleome,1,18
Clermontia,2,NA
Clethra,1,3
Cliffortia,1,NA
Clinopodium,6,11
Clivia,1,2
Cloezia,1,NA
Clutia,1,1
Coccoloba,3,1
Coccothrinax,1,1
Cochlearia,1,5
Codia,1,NA
Coffea,1,5
Colutea,1,3
Combretum,1,3
Comparettia,1,NA
Congea,1,2
Conophytum,2,NA
Convolvulus,8,7
Copernicia,7,1
Copiapoa,1,NA
Coprosma,8,3
Cordyline,2,4
Coriaria,2,1
Corispermum,3,11
Cornus,5,9
Corokia,1,NA
Correa,2,1
Corybas,2,NA
Corydalis,5,10
Corylus,1,4
Corymbia,3,6
Cota,1,3
Cotoneaster,3,90
Cousinia,10,NA
Crambe,1,4
Crassula,3,31
Crataegus,54,31
Crepidiastrum,3,NA
Crinum,1,6
Crocosmia,1,4
Crocus,4,20
Cruciata,1,3
Cryptocoryne,11,3
Cucurbita,1,6
Cunonia,3,NA
Cyathea,4,1
Cycas,2,2
Cyclamen,1,4
Cylindropuntia,11,8
Cymbidium,16,3
Cynara,2,3
Cynodon,1,7
Cynoglossum,3,10
Cynorkis,2,NA
Cyperus,5,108
Cypripedium,8,NA
Cyrtandra,39,NA
Cyrtochilum,1,NA
Cyrtopodium,1,1
Cystopteris,5,2
Cytisus,4,12
Dacrydium,1,NA
Dactylorhiza,107,1
Damnacanthus,1,NA
Danthonia,1,4
Daphne,9,3
Delphinium,6,3
Dendrobium,20,4
Dendrophthoe,1,NA
Deparia,6,2
Desmodium,1,34
Deutzia,1,4
Dialypetalum,1,NA
Dianthus,18,17
Dichelostemma,1,1
Dichoropetalum,1,NA
Dicranopteris,1,2
Digitalis,6,5
Dioscorea,1,11
Diospyros,1,10
Dipcadi,1,NA
Diplacus,2,NA
Diplazium,12,2
Diplotaxis,2,6
Dipsacus,1,4
Disa,4,1
Discaria,1,NA
Disporum,1,NA
Diuris,5,NA
Dombeya,1,1
Domingoa,1,NA
Doronicum,7,6
Draba,36,10
Dracophyllum,8,NA
Dracula,3,NA
Drosera,15,8
Dryas,3,NA
Drymocallis,2,NA
Drynaria,1,NA
Dryopteris,83,5
Duabanga,1,NA
Dubautia,3,NA
Dudleya,1,NA
Duranta,4,1
Dysphania,2,11
Echeveria,1,4
Echinocereus,3,NA
Echinopsis,1,5
Echium,3,15
Edraianthus,3,NA
Elaeagnus,3,7
Elaphoglossum,5,NA
Elatostema,1,NA
Eleocharis,7,25
Elymus,19,30
Emilia,1,4
Encyclia,23,1
Endiandra,1,1
Ephedra,2,4
Epidendrum,9,2
Epilobium,77,25
Epimedium,3,2
Epipactis,28,3
Equisetum,26,8
Eragrostis,1,54
Eremurus,6,1
Erepsia,1,1
Erica,8,23
Ericameria,3,2
Erigeron,4,27
Eriobotrya,1,1
Eriocaulon,1,7
Eriochrysis,1,1
Eriocoma,1,NA
Eriogonum,3,3
Eriophorum,7,1
Eriosema,3,NA
Erodium,4,19
Eryngium,8,14
Erysimum,2,15
Erythranthe,3,NA
Erythrina,4,15
Erythroxylum,1,2
Escallonia,8,3
Espeletia,17,NA
Eucalyptus,76,71
Eucryphia,2,NA
Eulophia,2,3
Eupatorium,1,10
Euphorbia,42,104
Euphrasia,29,5
Eurybia,1,3
Exochorda,1,1
Fagus,1,1
Fallopia,1,6
Festuca,21,33
Ficinia,1,NA
Filago,1,7
Filipendula,2,5
Fimbristylis,2,19
Forsteronia,1,NA
Forsythia,1,3
Fragaria,5,6
Frangula,1,3
Fraxinus,5,18
Fritillaria,2,5
Fuchsia,3,9
Fumana,1,NA
Fumaria,4,18
Gaertnera,1,NA
Gagea,8,5
Galactites,1,1
Galanthus,4,8
Galatella,4,3
Galeopsis,6,7
Galium,28,34
Garcinia,1,5
Gastrodia,1,1
Gaultheria,4,3
Genista,10,13
Gentiana,15,10
Gentianella,4,NA
Geum,10,7
Gladiolus,3,17
Glechoma,1,2
Gleditsia,1,3
Gleichenia,1,NA
Globba,1,2
Globularia,3,1
Glyceria,6,10
Gomesa,8,NA
Goodyera,1,1
Grevillea,1,8
Guarianthe,1,NA
Gunnera,1,3
Guzmania,2,2
Gymnadenia,22,1
Gymnocalycium,1,NA
Gymnocarpium,4,NA
Gypsophila,2,13
Haageocereus,1,NA
Haworthiopsis,2,NA
Hedera,1,5
Hedychium,1,4
Hedysarum,3,1
Helianthemum,29,1
Helianthus,11,26
Helichrysum,2,9
Heliconia,5,6
Helictochloa,1,NA
Helictotrichon,1,4
Helleborus,2,6
Helosciadium,1,NA
Hemerocallis,2,5
Hemionitis,1,3
Hemipilia,1,NA
Hepatica,1,1
Heracleum,2,4
Herniaria,2,5
Heterocaryum,1,1
Heuchera,1,1
Hibiscadelphus,1,NA
Hibiscus,2,27
Hieracium,32,55
Himantoglossum,1,NA
Hippophae,1,NA
Hoheria,1,1
Holcus,1,4
Hordeum,3,19
Hosta,2,2
Hoya,1,1
Huernia,1,NA
Huperzia,8,NA
Hyacinthoides,1,6
Hydrangea,2,7
Hydrocotyle,1,14
Hylotelephium,1,3
Hymenophyllum,2,NA
Hypericum,14,48
Hypolepis,2,2
Ilex,5,8
Impatiens,3,9
Inga,1,12
Inula,1,8
Ipomoea,1,55
Iris,18,31
Isabelia,1,NA
Ismene,1,1
Isodon,5,NA
Isoetes,19,1
Ixeris,2,1
Jacobaea,7,6
Jasminum,1,17
Jatropha,2,8
Juglans,2,9
Juncus,22,69
Juniperus,5,14
Kalanchoe,8,19
Kickxia,1,7
Klasea,1,1
Knautia,11,3
Kniphofia,2,2
Koeleria,2,3
Koenigia,1,NA
Kohleria,1,NA
Kunzea,2,3
Laburnum,1,2
Lachnagrostis,2,NA
Laelia,4,1
Lamium,2,10
Landolphia,1,NA
Lantana,14,12
Larix,1,6
Lasiopetalum,1,NA
Lathyrus,1,33
Lavandula,10,6
Leontodon,3,4
Lepanthes,2,NA
Leptochilus,2,NA
Leptopteris,1,NA
Lespedeza,16,13
Leucaena,2,6
Leucanthemum,6,4
Lewisia,1,NA
Leymus,8,12
Liatris,9,8
Ligularia,1,4
Lilium,2,11
Limnophila,1,5
Limonium,14,13
Linaria,10,20
Lindsaea,1,1
Liparis,1,NA
Lipochaeta,1,NA
Lobelia,3,17
Lolium,10,6
Lomariopsis,1,NA
Lonicera,4,29
Lophomyrtus,1,NA
Lotus,4,24
Ludwigia,2,23
Luehea,1,1
Lumnitzera,1,1
Lupinus,5,19
Luzula,20,8
Lycaste,13,NA
Lycium,2,6
Lycopodiella,4,3
Lycopodium,5,NA
Lycopus,2,3
Lycoris,3,2
Lygodium,2,3
Lysimachia,4,18
Machaerium,1,1
Macrocarpaea,2,NA
Macrothelypteris,1,1
Magnolia,7,12
Maianthemum,1,2
Malcolmia,1,4
Malus,7,15
Malva,10,18
Mammillaria,1,NA
Mantisalca,1,1
Marrubium,3,2
Masdevallia,8,NA
Maxillaria,3,NA
Medicago,6,34
Melaleuca,3,21
Melampyrum,4,2
Melastoma,1,2
Melica,5,5
Melicope,1,1
Melicytus,1,NA
Melilotus,2,16
Melocactus,2,NA
Mentha,15,14
Mercurialis,2,2
Metrosideros,1,2
Mickelia,1,NA
Microlepia,5,2
Microloma,1,1
Micromeria,16,1
Miltonia,8,NA
Minuartiella,1,NA
Mirabilis,2,7
Miscanthus,1,4
Mitella,1,NA
Moehringia,2,1
Moltkia,1,NA
Monanthes,3,NA
Monarda,1,10
Monardella,1,NA
Monotrema,1,NA
Mormodes,1,NA
Mosiera,1,NA
Muhlenbergia,1,19
Musa,3,9
Myosotis,10,18
Myrceugenia,2,NA
Myrmecophila,3,1
Narcissus,75,20
Nasturtium,1,3
Navarretia,1,2
Neotinea,3,NA
Neottia,1,1
Nepenthes,8,NA
Nepeta,3,8
Nephrolepis,5,10
Nerine,1,4
Noccaea,1,NA
Nonea,1,8
Nothofagus,4,2
Nothoscordum,1,2
Nuphar,4,4
Nymphaea,5,10
Nymphoides,1,5
Oberonia,1,NA
Ocimum,1,4
Oclemena,1,NA
Odontites,1,NA
Oenocarpus,1,NA
Oenothera,7,46
Olearia,1,5
Omalotheca,1,NA
Oncidium,31,1
Onobrychis,2,3
Ononis,1,6
Onopordum,8,6
Onosma,1,NA
Onychium,1,1
Ophioglossum,3,1
Ophrys,148,NA
Opuntia,16,35
Orchis,55,NA
Origanum,16,5
Ornithogalum,3,10
Ornithopus,1,4
Osmolindsaea,1,NA
Osmunda,1,1
Ouratea,1,NA
Owenia,1,NA
Oxybasis,1,NA
Oxytropis,4,2
Packera,1,2
Paeonia,8,3
Palmeria,1,NA
Paloue,1,NA
Pancheria,2,NA
Panicum,1,37
Papaver,11,20
Paphiopedilum,37,1
Parasenecio,4,NA
Parkinsonia,2,2
Parodia,1,2
Parsonsia,1,NA
Passiflora,2,37
Paulownia,1,1
Pectis,1,4
Pedicularis,24,2
Pelargonium,1,17
Penstemon,7,16
Pentanema,1,1
Peperomia,2,3
Pericallis,1,1
Persicaria,11,40
Persoonia,3,NA
Pertya,2,NA
Pescatoria,3,NA
Petasites,2,8
Petrocosmea,1,NA
Petrosedum,10,NA
Phagnalon,2,NA
Phalaenopsis,9,NA
Phalaris,1,11
Phaseolus,1,4
Phedimus,1,NA
Phleum,2,7
Phlomis,23,2
Phlox,2,12
Photinia,1,6
Phragmipedium,7,NA
Phthirusa,1,NA
Phyla,1,4
Phyllanthus,3,23
Phyllodoce,2,NA
Phyllostegia,1,NA
Physalis,1,28
Phyteuma,5,4
Picea,4,10
Pilosella,24,13
Pilosocereus,2,NA
Pimelea,1,1
Pimpinella,2,6
Pinguicula,4,1
Pinus,16,47
Pistacia,1,3
Pithecellobium,1,2
Pittosporum,3,8
Pityrogramma,3,3
Plagiogyria,3,NA
Plantago,2,42
Platanthera,16,NA
Platycerium,1,1
Pleione,8,NA
Pleiospilos,1,NA
Pleopeltis,8,1
Plumeria,1,4
Poa,27,27
Podocarpus,1,3
Polemonium,2,3
Pollia,2,NA
Polygala,4,12
Polygonatum,8,4
Polygonum,2,29
Polypodium,8,3
Polypogon,1,8
Polystachya,1,1
Polystichopsis,1,NA
Polystichum,59,7
Populus,29,14
Potamogeton,74,12
Potentilla,48,45
Primula,42,12
Proserpinaca,1,1
Prosopis,1,12
Prosthechea,2,NA
Prunella,5,3
Prunus,47,45
Pseudolaelia,1,NA
Pseudostellaria,2,NA
Psidium,1,4
Psilotum,1,1
Psychilis,2,NA
Psylliostachys,3,NA
Pteris,5,11
Pterostylis,6,NA
Ptilostemon,4,3
Puccinellia,6,14
Pulmonaria,8,7
Pulsatilla,11,NA
Puya,1,NA
Pyrola,1,NA
Pyrrosia,1,1
Pyrus,3,8
Quelchia,1,NA
Quercus,187,26
Ranunculus,38,49
Raoulia,1,NA
Raukaua,2,NA
Rauvolfia,1,4
Reichardia,3,2
Reseda,1,7
Reynoutria,1,4
Rhamnus,6,8
Rheum,1,3
Rhinanthus,12,4
Rhizophora,5,2
Rhodanthemum,1,NA
Rhododendron,69,18
Rhus,2,7
Rhynchospora,1,9
Rhynchostele,2,NA
Ribes,3,13
Rinorea,1,NA
Robinia,3,6
Rodriguezia,1,NA
Romulea,6,8
Rondeletia,2,NA
Rorippa,15,17
Rosa,106,44
Rosularia,3,NA
Rubus,65,94
Rumex,105,59
Ruscus,1,3
Sabal,1,1
Saccharum,1,7
Sagina,4,12
Sagittaria,1,12
Salacia,1,NA
Salicornia,1,4
Salix,212,36
Salsola,1,9
Salvia,28,47
Sambucus,1,7
Sanguisorba,4,9
Sarracenia,30,4
Satureja,4,2
Satyrium,2,NA
Saussurea,4,2
Saxifraga,90,13
Scabiosa,2,4
Scaevola,1,1
Schizaea,1,1
Schizogyne,1,NA
Schoenoplectiella,8,8
Schoenoplectus,7,5
Schoenus,1,1
Scirpus,2,8
Scleranthus,2,3
Sclerolaena,1,3
Scolymus,1,3
Scorzoneroides,3,5
Scrophularia,3,9
Scutellaria,5,12
Sedum,8,42
Selaginella,2,12
Sempervivum,15,6
Senecio,22,49
Senegalia,3,2
Senna,1,37
Serapias,38,2
Seringia,1,NA
Serpocaulon,4,NA
Seseli,1,7
Sesleria,1,2
Sideritis,45,3
Silene,7,47
Sobralia,1,1
Solanum,4,107
Soldanella,11,1
Solidago,10,16
Sonchus,7,13
Sonneratia,3,1
Sorbus,2,16
Sorghum,1,7
Sparganium,4,5
Spartina,1,NA
Spathoglottis,1,1
Spergularia,1,11
Sphagneticola,1,2
Sphenopholis,1,3
Spinifex,1,1
Spiraea,8,17
Spiranthes,9,1
Sporobolus,2,45
Stachys,8,23
Stachytarpheta,7,6
Stanhopea,6,NA
Stapelia,1,1
Stellaria,5,15
Stenotis,1,NA
Sticherus,3,NA
Stipa,25,24
Streptopus,1,NA
Stuckenia,3,1
Suaeda,1,8
Suberanthus,2,NA
Succisoknautia,1,NA
Sudamerlycaste,3,NA
Swietenia,1,2
Syagrus,11,1
Symphyotrichum,11,21
Symphytum,6,9
Syzygium,1,12
Tabebuia,2,4
Tacinga,1,NA
Tamarix,1,11
Taraxacum,1,52
Tectaria,5,2
Tephroseris,1,NA
Tephrosia,2,14
Terminalia,1,10
Tetradymia,1,NA
Tetramicra,1,NA
Tetratheca,1,NA
Teucrium,47,10
Thalictrum,5,7
Thelocactus,1,NA
Thelymitra,5,NA
Thelypteris,22,5
Thinopyrum,1,NA
Thymelaea,1,1
Thymus,101,8
Tilia,5,7
Tillandsia,13,10
Tofieldia,1,NA
Tolpis,1,3
Tolumnia,4,NA
Toxicodendron,1,3
Trachelium,1,1
Trachycnemum,1,NA
Tradescantia,1,13
Tragopogon,2,17
Trichocentrum,12,1
Trichomanes,2,1
Trichopilia,1,NA
Tridens,1,4
Trifolium,7,71
Trigonella,2,8
Trillium,5,6
Triosteum,1,NA
Triteleia,1,1
Triticum,1,5
Trochetiopsis,1,NA
Trollius,1,1
Tropaeolum,3,5
Tsuga,1,4
Tuberaria,1,1
Tulipa,1,7
Turbinicarpus,3,NA
Tylecodon,1,NA
Typha,9,6
Ulex,3,3
Ulmus,5,8
Urceolina,1,1
Urtica,1,9
Vaccinium,8,3
Vachellia,5,4
Valeriana,5,10
Vanda,5,1
Vasconcellea,1,1
Veratrum,1,1
Verbascum,295,18
Verbena,15,28
Vernonia,3,8
Veronica,32,51
Verticordia,1,NA
Vicia,3,41
Vincetoxicum,2,4
Viola,112,32
Viscaria,1,NA
Vitis,3,8
Vriesea,3,1
Wallisia,1,NA
Watsonia,1,9
Weigela,1,2
Wikstroemia,1,2
Woodsia,5,NA
Woodwardia,2,1
Wyethia,1,NA
Xanthostemon,1,NA
Yucca,1,5
Zamia,1,1
Zoysia,2,4
Abrus,NA,3
Abutilon,NA,15
Acaciella,NA,1
Acanthocephalus,NA,1
Acanthocereus,NA,1
Acanthospermum,NA,4
Acanthus,NA,4
Acca,NA,1
Achetaria,NA,1
Achimenes,NA,1
Achyranthes,NA,6
Acicarpha,NA,1
Acmella,NA,18
Acmispon,NA,4
Acokanthera,NA,1
Acorus,NA,2
Acrachne,NA,1
Acrocarpus,NA,1
Acroceras,NA,2
Acrocomia,NA,1
Acrostichum,NA,1
Actinidia,NA,5
Actinotus,NA,1
Adansonia,NA,1
Adenanthera,NA,2
Adenium,NA,1
Adenocaulon,NA,1
Adenostemma,NA,4
Adlumia,NA,1
Adonidia,NA,1
Aechmea,NA,2
Aegle,NA,1
Aegopodium,NA,2
Aeluropus,NA,1
Aerva,NA,2
Aeschynomene,NA,16
Aetheorhiza,NA,1
Aethusa,NA,2
Aframomum,NA,1
Afrocanthium,NA,1
Afrocarpus,NA,1
Agalinis,NA,3
Agapanthus,NA,3
Agarista,NA,1
Agastache,NA,3
Agathis,NA,2
Agdestis,NA,1
Ageratina,NA,4
Ageratum,NA,2
Aglaia,NA,2
Aglaonema,NA,2
Agoseris,NA,1
Agropogon,NA,1
Agrostemma,NA,2
Ailanthus,NA,1
Aira,NA,5
Aizoanthemum,NA,1
Aizoon,NA,4
Albizia,NA,9
Albuca,NA,5
Alcea,NA,4
Alchemilla,NA,24
Alchornea,NA,1
Aldama,NA,1
Aldrovanda,NA,1
Aleurites,NA,1
Alhagi,NA,1
Allamanda,NA,3
Alliaria,NA,1
Allmania,NA,1
Allocasuarina,NA,3
Allophylus,NA,1
Alloteropsis,NA,1
Aloysia,NA,2
Alphitonia,NA,1
Alstonia,NA,2
Alstroemeria,NA,2
Alternanthera,NA,13
Alysicarpus,NA,5
Alyssum,NA,11
Amaryllis,NA,1
Amberboa,NA,1
Amblyolepis,NA,1
Amblyopappus,NA,1
Amethystea,NA,1
Amherstia,NA,1
Ammannia,NA,8
Ammi,NA,2
Ammobium,NA,1
Ammocharis,NA,1
Ammoselinum,NA,1
Amomyrtus,NA,1
Amorphophallus,NA,1
Ampelamus,NA,1
Ampelaster,NA,1
Ampelocissus,NA,2
Ampelodesmos,NA,1
Ampelopsis,NA,7
Amphiachyris,NA,1
Amphicarpaea,NA,1
Amphilophium,NA,2
Amsinckia,NA,7
Amsonia,NA,2
Anacardium,NA,1
Anagyris,NA,1
Ananas,NA,2
Anaphalis,NA,1
Andira,NA,1
Andrachne,NA,1
Andrographis,NA,2
Aneilema,NA,1
